Combination,Annualized Return,Benchmark Relative,Standard Deviation,Maximum Drawdown
"MSTY:0%, JEPQ:0%, SCHD:95%, SCHY:5%",6.1,-11.3,13.0,10.0
"MSTY:0%, JEPQ:0%, SCHD:100%, SCHY:0%",5.4,-11.9,13.5,11.0
"MSTY:0%, JEPQ:5%, SCHD:0%, SCHY:95%",17.7,0.4,11.8,9.8
"MSTY:0%, JEPQ:5%, SCHD:5%, SCHY:90%",17.1,-0.2,11.4,9.3
"MSTY:0%, JEPQ:5%, SCHD:10%, SCHY:85%",16.4,-0.9,11.0,8.9
"MSTY:0%, JEPQ:5%, SCHD:15%, SCHY:80%",15.8,-1.5,10.7,8.5
"MSTY:0%, JEPQ:5%, SCHD:20%, SCHY:75%",15.2,-2.1,10.4,8.1
"MSTY:0%, JEPQ:5%, SCHD:25%, SCHY:70%",14.5,-2.8,10.2,7.7
"MSTY:0%, JEPQ:5%, SCHD:30%, SCHY:65%",13.9,-3.4,10.0,7.2
"MSTY:0%, JEPQ:5%, SCHD:35%, SCHY:60%",13.3,-4.1,9.9,6.8
"MSTY:0%, JEPQ:5%, SCHD:40%, SCHY:55%",12.6,-4.7,9.9,6.4
"MSTY:0%, JEPQ:5%, SCHD:45%, SCHY:50%",12.0,-5.3,9.9,6.0
"MSTY:0%, JEPQ:5%, SCHD:50%, SCHY:45%",11.4,-6.0,10.0,5.5
"MSTY:0%, JEPQ:5%, SCHD:55%, SCHY:40%",10.7,-6.6,10.1,5.3
"MSTY:0%, JEPQ:5%, SCHD:60%, SCHY:35%",10.1,-7.2,10.3,5.4
"MSTY:0%, JEPQ:5%, SCHD:65%, SCHY:30%",9.5,-7.9,10.6,5.5
"MSTY:0%, JEPQ:5%, SCHD:70%, SCHY:25%",8.8,-8.5,10.9,5.9
"MSTY:0%, JEPQ:5%, SCHD:75%, SCHY:20%",8.2,-9.1,11.2,6.9
"MSTY:0%, JEPQ:5%, SCHD:80%, SCHY:15%",7.6,-9.8,11.6,7.9
"MSTY:0%, JEPQ:5%, SCHD:85%, SCHY:10%",6.9,-10.4,12.0,8.9
"MSTY:0%, JEPQ:5%, SCHD:90%, SCHY:5%",6.3,-11.1,12.5,9.8
"MSTY:0%, JEPQ:5%, SCHD:95%, SCHY:0%",5.6,-11.7,13.0,10.8
"MSTY:0%, JEPQ:10%, SCHD:0%, SCHY:90%",17.3,-0.0,11.0,8.9
"MSTY:0%, JEPQ:10%, SCHD:5%, SCHY:85%",16.7,-0.7,10.6,8.5
"MSTY:0%, JEPQ:10%, SCHD:10%, SCHY:80%",16.0,-1.3,10.2,8.1
"MSTY:0%, JEPQ:10%, SCHD:15%, SCHY:75%",15.4,-1.9,9.9,7.7
"MSTY:0%, JEPQ:10%, SCHD:20%, SCHY:70%",14.7,-2.6,9.7,7.2
"MSTY:0%, JEPQ:10%, SCHD:25%, SCHY:65%",14.1,-3.2,9.5,6.8
"MSTY:0%, JEPQ:10%, SCHD:30%, SCHY:60%",13.5,-3.8,9.4,6.4
"MSTY:0%, JEPQ:10%, SCHD:35%, SCHY:55%",12.8,-4.5,9.3,6.0
"MSTY:0%, JEPQ:10%, SCHD:40%, SCHY:50%",12.2,-5.1,9.4,5.6
"MSTY:0%, JEPQ:10%, SCHD:45%, SCHY:45%",11.6,-5.8,9.4,5.1
"MSTY:0%, JEPQ:10%, SCHD:50%, SCHY:40%",10.9,-6.4,9.6,4.9
"MSTY:0%, JEPQ:10%, SCHD:55%, SCHY:35%",10.3,-7.0,9.8,5.0
"MSTY:0%, JEPQ:10%, SCHD:60%, SCHY:30%",9.7,-7.7,10.0,5.2
"MSTY:0%, JEPQ:10%, SCHD:65%, SCHY:25%",9.0,-8.3,10.3,5.8
"MSTY:0%, JEPQ:10%, SCHD:70%, SCHY:20%",8.4,-8.9,10.7,6.8
"MSTY:0%, JEPQ:10%, SCHD:75%, SCHY:15%",7.8,-9.6,11.1,7.7
"MSTY:0%, JEPQ:10%, SCHD:80%, SCHY:10%",7.1,-10.2,11.5,8.7
"MSTY:0%, JEPQ:10%, SCHD:85%, SCHY:5%",6.5,-10.8,12.0,9.7
"MSTY:0%, JEPQ:10%, SCHD:90%, SCHY:0%",5.8,-11.5,12.5,10.6
"MSTY:0%, JEPQ:15%, SCHD:0%, SCHY:85%",16.9,-0.5,10.2,8.1
"MSTY:0%, JEPQ:15%, SCHD:5%, SCHY:80%",16.2,-1.1,9.8,7.7
"MSTY:0%, JEPQ:15%, SCHD:10%, SCHY:75%",15.6,-1.7,9.5,7.3
"MSTY:0%, JEPQ:15%, SCHD:15%, SCHY:70%",15.0,-2.4,9.3,6.8
"MSTY:0%, JEPQ:15%, SCHD:20%, SCHY:65%",14.3,-3.0,9.1,6.4
"MSTY:0%, JEPQ:15%, SCHD:25%, SCHY:60%",13.7,-3.6,8.9,6.0
"MSTY:0%, JEPQ:15%, SCHD:30%, SCHY:55%",13.0,-4.3,8.8,5.6
"MSTY:0%, JEPQ:15%, SCHD:35%, SCHY:50%",12.4,-4.9,8.8,5.1
"MSTY:0%, JEPQ:15%, SCHD:40%, SCHY:45%",11.8,-5.6,8.9,4.7
"MSTY:0%, JEPQ:15%, SCHD:45%, SCHY:40%",11.1,-6.2,9.1,4.5
"MSTY:0%, JEPQ:15%, SCHD:50%, SCHY:35%",10.5,-6.8,9.2,4.7
"MSTY:0%, JEPQ:15%, SCHD:55%, SCHY:30%",9.9,-7.5,9.5,4.8
"MSTY:0%, JEPQ:15%, SCHD:60%, SCHY:25%",9.2,-8.1,9.8,5.6
"MSTY:0%, JEPQ:15%, SCHD:65%, SCHY:20%",8.6,-8.7,10.2,6.6
"MSTY:0%, JEPQ:15%, SCHD:70%, SCHY:15%",8.0,-9.4,10.6,7.6
"MSTY:0%, JEPQ:15%, SCHD:75%, SCHY:10%",7.3,-10.0,11.0,8.6
"MSTY:0%, JEPQ:15%, SCHD:80%, SCHY:5%",6.7,-10.6,11.5,9.5
"MSTY:0%, JEPQ:15%, SCHD:85%, SCHY:0%",6.0,-11.3,12.0,10.5
"MSTY:0%, JEPQ:20%, SCHD:0%, SCHY:80%",16.4,-0.9,9.5,7.3
"MSTY:0%, JEPQ:20%, SCHD:5%, SCHY:75%",15.8,-1.5,9.2,6.8
"MSTY:0%, JEPQ:20%, SCHD:10%, SCHY:70%",15.2,-2.2,8.9,6.4
"MSTY:0%, JEPQ:20%, SCHD:15%, SCHY:65%",14.5,-2.8,8.7,6.0
"MSTY:0%, JEPQ:20%, SCHD:20%, SCHY:60%",13.9,-3.4,8.5,5.6
"MSTY:0%, JEPQ:20%, SCHD:25%, SCHY:55%",13.3,-4.1,8.4,5.2
"MSTY:0%, JEPQ:20%, SCHD:30%, SCHY:50%",12.6,-4.7,8.4,4.7
"MSTY:0%, JEPQ:20%, SCHD:35%, SCHY:45%",12.0,-5.3,8.5,4.3
"MSTY:0%, JEPQ:20%, SCHD:40%, SCHY:40%",11.3,-6.0,8.6,4.2
"MSTY:0%, JEPQ:20%, SCHD:45%, SCHY:35%",10.7,-6.6,8.8,4.3
"MSTY:0%, JEPQ:20%, SCHD:50%, SCHY:30%",10.1,-7.3,9.0,4.4
"MSTY:0%, JEPQ:20%, SCHD:55%, SCHY:25%",9.4,-7.9,9.3,5.4
"MSTY:0%, JEPQ:20%, SCHD:60%, SCHY:20%",8.8,-8.5,9.7,6.4
"MSTY:0%, JEPQ:20%, SCHD:65%, SCHY:15%",8.2,-9.2,10.1,7.4
"MSTY:0%, JEPQ:20%, SCHD:70%, SCHY:10%",7.5,-9.8,10.6,8.4
"MSTY:0%, JEPQ:20%, SCHD:75%, SCHY:5%",6.9,-10.4,11.1,9.4
"MSTY:0%, JEPQ:20%, SCHD:80%, SCHY:0%",6.3,-11.1,11.6,10.3
"MSTY:0%, JEPQ:25%, SCHD:0%, SCHY:75%",16.0,-1.3,8.9,6.4
"MSTY:0%, JEPQ:25%, SCHD:5%, SCHY:70%",15.4,-2.0,8.6,6.0
"MSTY:0%, JEPQ:25%, SCHD:10%, SCHY:65%",14.7,-2.6,8.3,5.6
"MSTY:0%, JEPQ:25%, SCHD:15%, SCHY:60%",14.1,-3.2,8.1,5.2
"MSTY:0%, JEPQ:25%, SCHD:20%, SCHY:55%",13.5,-3.9,8.0,4.7
"MSTY:0%, JEPQ:25%, SCHD:25%, SCHY:50%",12.8,-4.5,8.0,4.3
"MSTY:0%, JEPQ:25%, SCHD:30%, SCHY:45%",12.2,-5.1,8.0,3.9
"MSTY:0%, JEPQ:25%, SCHD:35%, SCHY:40%",11.5,-5.8,8.2,3.8
"MSTY:0%, JEPQ:25%, SCHD:40%, SCHY:35%",10.9,-6.4,8.4,3.9
"MSTY:0%, JEPQ:25%, SCHD:45%, SCHY:30%",10.3,-7.1,8.6,4.3
"MSTY:0%, JEPQ:25%, SCHD:50%, SCHY:25%",9.6,-7.7,8.9,5.3
"MSTY:0%, JEPQ:25%, SCHD:55%, SCHY:20%",9.0,-8.3,9.3,6.3
"MSTY:0%, JEPQ:25%, SCHD:60%, SCHY:15%",8.4,-9.0,9.7,7.3
"MSTY:0%, JEPQ:25%, SCHD:65%, SCHY:10%",7.7,-9.6,10.2,8.2
"MSTY:0%, JEPQ:25%, SCHD:70%, SCHY:5%",7.1,-10.2,10.7,9.2
"MSTY:0%, JEPQ:25%, SCHD:75%, SCHY:0%",6.5,-10.9,11.2,10.2
"MSTY:0%, JEPQ:30%, SCHD:0%, SCHY:70%",15.6,-1.8,8.3,5.6
"MSTY:0%, JEPQ:30%, SCHD:5%, SCHY:65%",14.9,-2.4,8.1,5.2
"MSTY:0%, JEPQ:30%, SCHD:10%, SCHY:60%",14.3,-3.0,7.9,4.7
"MSTY:0%, JEPQ:30%, SCHD:15%, SCHY:55%",13.7,-3.7,7.7,4.3
"MSTY:0%, JEPQ:30%, SCHD:20%, SCHY:50%",13.0,-4.3,7.7,3.9
"MSTY:0%, JEPQ:30%, SCHD:25%, SCHY:45%",12.4,-4.9,7.7,3.5
"MSTY:0%, JEPQ:30%, SCHD:30%, SCHY:40%",11.8,-5.6,7.8,3.4
"MSTY:0%, JEPQ:30%, SCHD:35%, SCHY:35%",11.1,-6.2,8.0,3.6
"MSTY:0%, JEPQ:30%, SCHD:40%, SCHY:30%",10.5,-6.9,8.3,4.1
"MSTY:0%, JEPQ:30%, SCHD:45%, SCHY:25%",9.8,-7.5,8.6,5.1
"MSTY:0%, JEPQ:30%, SCHD:50%, SCHY:20%",9.2,-8.1,8.9,6.1
"MSTY:0%, JEPQ:30%, SCHD:55%, SCHY:15%",8.6,-8.8,9.4,7.1
"MSTY:0%, JEPQ:30%, SCHD:60%, SCHY:10%",7.9,-9.4,9.8,8.1
"MSTY:0%, JEPQ:30%, SCHD:65%, SCHY:5%",7.3,-10.0,10.3,9.1
"MSTY:0%, JEPQ:30%, SCHD:70%, SCHY:0%",6.7,-10.7,10.8,10.0
"MSTY:0%, JEPQ:35%, SCHD:0%, SCHY:65%",15.1,-2.2,7.9,4.8
"MSTY:0%, JEPQ:35%, SCHD:5%, SCHY:60%",14.5,-2.8,7.7,4.3
"MSTY:0%, JEPQ:35%, SCHD:10%, SCHY:55%",13.9,-3.5,7.5,3.9
"MSTY:0%, JEPQ:35%, SCHD:15%, SCHY:50%",13.2,-4.1,7.4,3.5
"MSTY:0%, JEPQ:35%, SCHD:20%, SCHY:45%",12.6,-4.7,7.5,3.0
"MSTY:0%, JEPQ:35%, SCHD:25%, SCHY:40%",12.0,-5.4,7.5,3.1
"MSTY:0%, JEPQ:35%, SCHD:30%, SCHY:35%",11.3,-6.0,7.7,3.2
"MSTY:0%, JEPQ:35%, SCHD:35%, SCHY:30%",10.7,-6.6,8.0,3.9
"MSTY:0%, JEPQ:35%, SCHD:40%, SCHY:25%",10.0,-7.3,8.3,5.0
"MSTY:0%, JEPQ:35%, SCHD:45%, SCHY:20%",9.4,-7.9,8.6,6.0
"MSTY:0%, JEPQ:35%, SCHD:50%, SCHY:15%",8.8,-8.6,9.1,6.9
"MSTY:0%, JEPQ:35%, SCHD:55%, SCHY:10%",8.1,-9.2,9.5,7.9
"MSTY:0%, JEPQ:35%, SCHD:60%, SCHY:5%",7.5,-9.8,10.0,8.9
"MSTY:0%, JEPQ:35%, SCHD:65%, SCHY:0%",6.9,-10.5,10.6,9.9
"MSTY:0%, JEPQ:40%, SCHD:0%, SCHY:60%",14.7,-2.6,7.5,3.9
"MSTY:0%, JEPQ:40%, SCHD:5%, SCHY:55%",14.1,-3.3,7.4,3.5
"MSTY:0%, JEPQ:40%, SCHD:10%, SCHY:50%",13.4,-3.9,7.3,3.1
"MSTY:0%, JEPQ:40%, SCHD:15%, SCHY:45%",12.8,-4.5,7.3,2.6
"MSTY:0%, JEPQ:40%, SCHD:20%, SCHY:40%",12.2,-5.2,7.4,2.7
"MSTY:0%, JEPQ:40%, SCHD:25%, SCHY:35%",11.5,-5.8,7.5,2.8
"MSTY:0%, JEPQ:40%, SCHD:30%, SCHY:30%",10.9,-6.4,7.7,3.8
"MSTY:0%, JEPQ:40%, SCHD:35%, SCHY:25%",10.2,-7.1,8.0,4.8
"MSTY:0%, JEPQ:40%, SCHD:40%, SCHY:20%",9.6,-7.7,8.4,5.8
"MSTY:0%, JEPQ:40%, SCHD:45%, SCHY:15%",9.0,-8.4,8.8,6.8
"MSTY:0%, JEPQ:40%, SCHD:50%, SCHY:10%",8.3,-9.0,9.3,7.8
"MSTY:0%, JEPQ:40%, SCHD:55%, SCHY:5%",7.7,-9.6,9.8,8.7
"MSTY:0%, JEPQ:40%, SCHD:60%, SCHY:0%",7.1,-10.3,10.3,9.7
"MSTY:0%, JEPQ:45%, SCHD:0%, SCHY:55%",14.3,-3.1,7.3,3.1
"MSTY:0%, JEPQ:45%, SCHD:5%, SCHY:50%",13.6,-3.7,7.2,2.8
"MSTY:0%, JEPQ:45%, SCHD:10%, SCHY:45%",13.0,-4.3,7.2,2.5
"MSTY:0%, JEPQ:45%, SCHD:15%, SCHY:40%",12.4,-5.0,7.3,2.3
"MSTY:0%, JEPQ:45%, SCHD:20%, SCHY:35%",11.7,-5.6,7.4,2.7
"MSTY:0%, JEPQ:45%, SCHD:25%, SCHY:30%",11.1,-6.2,7.6,3.6
"MSTY:0%, JEPQ:45%, SCHD:30%, SCHY:25%",10.5,-6.9,7.9,4.6
"MSTY:0%, JEPQ:45%, SCHD:35%, SCHY:20%",9.8,-7.5,8.3,5.6
"MSTY:0%, JEPQ:45%, SCHD:40%, SCHY:15%",9.2,-8.2,8.7,6.6
"MSTY:0%, JEPQ:45%, SCHD:45%, SCHY:10%",8.5,-8.8,9.1,7.6
"MSTY:0%, JEPQ:45%, SCHD:50%, SCHY:5%",7.9,-9.4,9.6,8.6
"MSTY:0%, JEPQ:45%, SCHD:55%, SCHY:0%",7.3,-10.1,10.1,9.5
"MSTY:0%, JEPQ:50%, SCHD:0%, SCHY:50%",13.8,-3.5,7.3,2.8
"MSTY:0%, JEPQ:50%, SCHD:5%, SCHY:45%",13.2,-4.1,7.2,2.5
"MSTY:0%, JEPQ:50%, SCHD:10%, SCHY:40%",12.6,-4.8,7.2,2.2
"MSTY:0%, JEPQ:50%, SCHD:15%, SCHY:35%",11.9,-5.4,7.4,2.7
"MSTY:0%, JEPQ:50%, SCHD:20%, SCHY:30%",11.3,-6.0,7.6,3.5
"MSTY:0%, JEPQ:50%, SCHD:25%, SCHY:25%",10.7,-6.7,7.8,4.5
"MSTY:0%, JEPQ:50%, SCHD:30%, SCHY:20%",10.0,-7.3,8.2,5.5
"MSTY:0%, JEPQ:50%, SCHD:35%, SCHY:15%",9.4,-7.9,8.6,6.5
"MSTY:0%, JEPQ:50%, SCHD:40%, SCHY:10%",8.7,-8.6,9.0,7.4
"MSTY:0%, JEPQ:50%, SCHD:45%, SCHY:5%",8.1,-9.2,9.5,8.4
"MSTY:0%, JEPQ:50%, SCHD:50%, SCHY:0%",7.5,-9.9,10.0,9.4
"MSTY:0%, JEPQ:55%, SCHD:0%, SCHY:45%",13.4,-3.9,7.3,2.5
"MSTY:0%, JEPQ:55%, SCHD:5%, SCHY:40%",12.8,-4.6,7.3,2.6
"MSTY:0%, JEPQ:55%, SCHD:10%, SCHY:35%",12.1,-5.2,7.4,2.9
"MSTY:0%, JEPQ:55%, SCHD:15%, SCHY:30%",11.5,-5.8,7.6,3.6
"MSTY:0%, JEPQ:55%, SCHD:20%, SCHY:25%",10.9,-6.5,7.9,4.4
"MSTY:0%, JEPQ:55%, SCHD:25%, SCHY:20%",10.2,-7.1,8.2,5.3
"MSTY:0%, JEPQ:55%, SCHD:30%, SCHY:15%",9.6,-7.7,8.6,6.3
"MSTY:0%, JEPQ:55%, SCHD:35%, SCHY:10%",8.9,-8.4,9.0,7.3
"MSTY:0%, JEPQ:55%, SCHD:40%, SCHY:5%",8.3,-9.0,9.5,8.3
"MSTY:0%, JEPQ:55%, SCHD:45%, SCHY:0%",7.7,-9.7,10.0,9.2
"MSTY:0%, JEPQ:60%, SCHD:0%, SCHY:40%",13.0,-4.4,7.5,3.2
"MSTY:0%, JEPQ:60%, SCHD:5%, SCHY:35%",12.3,-5.0,7.6,3.4
"MSTY:0%, JEPQ:60%, SCHD:10%, SCHY:30%",11.7,-5.6,7.7,3.8
"MSTY:0%, JEPQ:60%, SCHD:15%, SCHY:25%",11.1,-6.3,7.9,4.6
"MSTY:0%, JEPQ:60%, SCHD:20%, SCHY:20%",10.4,-6.9,8.2,5.4
"MSTY:0%, JEPQ:60%, SCHD:25%, SCHY:15%",9.8,-7.5,8.6,6.2
"MSTY:0%, JEPQ:60%, SCHD:30%, SCHY:10%",9.1,-8.2,9.0,7.1
"MSTY:0%, JEPQ:60%, SCHD:35%, SCHY:5%",8.5,-8.8,9.5,8.1
"MSTY:0%, JEPQ:60%, SCHD:40%, SCHY:0%",7.9,-9.5,10.0,9.1
"MSTY:0%, JEPQ:65%, SCHD:0%, SCHY:35%",12.5,-4.8,7.8,4.0
"MSTY:0%, JEPQ:65%, SCHD:5%, SCHY:30%",11.9,-5.4,7.9,4.2
"MSTY:0%, JEPQ:65%, SCHD:10%, SCHY:25%",11.3,-6.1,8.1,4.8
"MSTY:0%, JEPQ:65%, SCHD:15%, SCHY:20%",10.6,-6.7,8.4,5.6
"MSTY:0%, JEPQ:65%, SCHD:20%, SCHY:15%",10.0,-7.3,8.7,6.4
"MSTY:0%, JEPQ:65%, SCHD:25%, SCHY:10%",9.4,-8.0,9.1,7.2
"MSTY:0%, JEPQ:65%, SCHD:30%, SCHY:5%",8.7,-8.6,9.6,8.0
"MSTY:0%, JEPQ:65%, SCHD:35%, SCHY:0%",8.1,-9.3,10.0,8.9
"MSTY:0%, JEPQ:70%, SCHD:0%, SCHY:30%",12.1,-5.2,8.2,4.7
"MSTY:0%, JEPQ:70%, SCHD:5%, SCHY:25%",11.5,-5.9,8.4,5.0
"MSTY:0%, JEPQ:70%, SCHD:10%, SCHY:20%",10.8,-6.5,8.6,5.8
"MSTY:0%, JEPQ:70%, SCHD:15%, SCHY:15%",10.2,-7.1,8.9,6.6
"MSTY:0%, JEPQ:70%, SCHD:20%, SCHY:10%",9.6,-7.8,9.3,7.4
"MSTY:0%, JEPQ:70%, SCHD:25%, SCHY:5%",8.9,-8.4,9.7,8.2
"MSTY:0%, JEPQ:70%, SCHD:30%, SCHY:0%",8.3,-9.0,10.2,8.9
"MSTY:0%, JEPQ:75%, SCHD:0%, SCHY:25%",11.7,-5.7,8.7,5.5
"MSTY:0%, JEPQ:75%, SCHD:5%, SCHY:20%",11.0,-6.3,8.9,5.9
"MSTY:0%, JEPQ:75%, SCHD:10%, SCHY:15%",10.4,-6.9,9.2,6.7
"MSTY:0%, JEPQ:75%, SCHD:15%, SCHY:10%",9.8,-7.6,9.5,7.5
"MSTY:0%, JEPQ:75%, SCHD:20%, SCHY:5%",9.1,-8.2,9.9,8.3
"MSTY:0%, JEPQ:75%, SCHD:25%, SCHY:0%",8.5,-8.8,10.3,9.1
"MSTY:0%, JEPQ:80%, SCHD:0%, SCHY:20%",11.2,-6.1,9.3,6.3
"MSTY:0%, JEPQ:80%, SCHD:5%, SCHY:15%",10.6,-6.7,9.5,6.9
"MSTY:0%, JEPQ:80%, SCHD:10%, SCHY:10%",10.0,-7.4,9.8,7.7
"MSTY:0%, JEPQ:80%, SCHD:15%, SCHY:5%",9.3,-8.0,10.2,8.5
"MSTY:0%, JEPQ:80%, SCHD:20%, SCHY:0%",8.7,-8.6,10.6,9.3
"MSTY:0%, JEPQ:85%, SCHD:0%, SCHY:15%",10.8,-6.5,9.9,7.1
"MSTY:0%, JEPQ:85%, SCHD:5%, SCHY:10%",10.2,-7.2,10.2,7.9
"MSTY:0%, JEPQ:85%, SCHD:10%, SCHY:5%",9.5,-7.8,10.5,8.7
"MSTY:0%, JEPQ:85%, SCHD:15%, SCHY:0%",8.9,-8.4,10.9,9.5
"MSTY:0%, JEPQ:90%, SCHD:0%, SCHY:10%",10.4,-7.0,10.6,8.1
"MSTY:0%, JEPQ:90%, SCHD:5%, SCHY:5%",9.7,-7.6,10.9,8.8
"MSTY:0%, JEPQ:90%, SCHD:10%, SCHY:0%",9.1,-8.2,11.2,9.6
"MSTY:0%, JEPQ:95%, SCHD:0%, SCHY:5%",9.9,-7.4,11.3,9.0
"MSTY:0%, JEPQ:95%, SCHD:5%, SCHY:0%",9.3,-8.0,11.6,9.8
"MSTY:0%, JEPQ:100%, SCHD:0%, SCHY:0%",9.5,-7.8,12.0,10.0
"MSTY:5%, JEPQ:0%, SCHD:0%, SCHY:95%",24.3,7.0,12.7,6.9
"MSTY:5%, JEPQ:0%, SCHD:5%, SCHY:90%",23.7,6.3,12.3,6.4
"MSTY:5%, JEPQ:0%, SCHD:10%, SCHY:85%",23.0,5.7,12.0,6.0
"MSTY:5%, JEPQ:0%, SCHD:15%, SCHY:80%",22.4,5.1,11.7,5.6
"MSTY:5%, JEPQ:0%, SCHD:20%, SCHY:75%",21.8,4.4,11.5,5.6
"MSTY:5%, JEPQ:0%, SCHD:25%, SCHY:70%",21.1,3.8,11.2,5.8
"MSTY:5%, JEPQ:0%, SCHD:30%, SCHY:65%",20.5,3.2,11.1,5.9
"MSTY:5%, JEPQ:0%, SCHD:35%, SCHY:60%",19.9,2.5,11.0,6.0
"MSTY:5%, JEPQ:0%, SCHD:40%, SCHY:55%",19.2,1.9,10.9,6.1
"MSTY:5%, JEPQ:0%, SCHD:45%, SCHY:50%",18.6,1.3,10.9,6.2
"MSTY:5%, JEPQ:0%, SCHD:50%, SCHY:45%",18.0,0.6,11.0,6.4
"MSTY:5%, JEPQ:0%, SCHD:55%, SCHY:40%",17.3,0.0,11.0,6.5
"MSTY:5%, JEPQ:0%, SCHD:60%, SCHY:35%",16.7,-0.6,11.2,6.6
"MSTY:5%, JEPQ:0%, SCHD:65%, SCHY:30%",16.1,-1.3,11.4,6.7
"MSTY:5%, JEPQ:0%, SCHD:70%, SCHY:25%",15.4,-1.9,11.6,6.8
"MSTY:5%, JEPQ:0%, SCHD:75%, SCHY:20%",14.8,-2.5,11.9,6.9
"MSTY:5%, JEPQ:0%, SCHD:80%, SCHY:15%",14.2,-3.2,12.2,7.1
"MSTY:5%, JEPQ:0%, SCHD:85%, SCHY:10%",13.5,-3.8,12.6,7.4
"MSTY:5%, JEPQ:0%, SCHD:90%, SCHY:5%",12.9,-4.4,13.0,8.3
"MSTY:5%, JEPQ:0%, SCHD:95%, SCHY:0%",12.3,-5.1,13.4,9.2
"MSTY:5%, JEPQ:5%, SCHD:0%, SCHY:90%",23.9,6.5,12.0,6.0
"MSTY:5%, JEPQ:5%, SCHD:5%, SCHY:85%",23.2,5.9,11.7,5.6
"MSTY:5%, JEPQ:5%, SCHD:10%, SCHY:80%",22.6,5.3,11.3,5.2
"MSTY:5%, JEPQ:5%, SCHD:15%, SCHY:75%",22.0,4.6,11.1,5.3
"MSTY:5%, JEPQ:5%, SCHD:20%, SCHY:70%",21.3,4.0,10.8,5.4
"MSTY:5%, JEPQ:5%, SCHD:25%, SCHY:65%",20.7,3.4,10.7,5.5
"MSTY:5%, JEPQ:5%, SCHD:30%, SCHY:60%",20.1,2.7,10.5,5.7
"MSTY:5%, JEPQ:5%, SCHD:35%, SCHY:55%",19.4,2.1,10.5,5.8
"MSTY:5%, JEPQ:5%, SCHD:40%, SCHY:50%",18.8,1.5,10.5,5.9
"MSTY:5%, JEPQ:5%, SCHD:45%, SCHY:45%",18.2,0.8,10.5,6.0
"MSTY:5%, JEPQ:5%, SCHD:50%, SCHY:40%",17.5,0.2,10.6,6.1
"MSTY:5%, JEPQ:5%, SCHD:55%, SCHY:35%",16.9,-0.4,10.7,6.3
"MSTY:5%, JEPQ:5%, SCHD:60%, SCHY:30%",16.3,-1.1,10.9,6.4
"MSTY:5%, JEPQ:5%, SCHD:65%, SCHY:25%",15.6,-1.7,11.2,6.5
"MSTY:5%, JEPQ:5%, SCHD:70%, SCHY:20%",15.0,-2.3,11.4,6.6
"MSTY:5%, JEPQ:5%, SCHD:75%, SCHY:15%",14.4,-3.0,11.8,6.7
"MSTY:5%, JEPQ:5%, SCHD:80%, SCHY:10%",13.7,-3.6,12.1,7.2
"MSTY:5%, JEPQ:5%, SCHD:85%, SCHY:5%",13.1,-4.2,12.5,8.2
"MSTY:5%, JEPQ:5%, SCHD:90%, SCHY:0%",12.5,-4.9,12.9,9.1
"MSTY:5%, JEPQ:10%, SCHD:0%, SCHY:85%",23.4,6.1,11.4,5.2
"MSTY:5%, JEPQ:10%, SCHD:5%, SCHY:80%",22.8,5.5,11.0,4.8
"MSTY:5%, JEPQ:10%, SCHD:10%, SCHY:75%",22.2,4.8,10.7,4.9
